actualValue,comment,dateValue,doubleValue,highlighting,languages,linkField,linkName,linkValue,longValue,markup,name,presentationName,tableCols,value,valueHash,valueWOHL
,Уровень суда,,,[],,,,,,[],case_court_type_cat,,,"Районный, городской, межрайонный суд",,"Районный, городской, межрайонный суд"
,Дела с текстом судебного акта,,,,,,,,1.0,,case_user_document_num,,,,,1
,Округ РФ,,,[],,,,,,[],case_doc_district_rf,,,Сибирский федеральный округ,,Сибирский федеральный округ
,Стороны по делу,,,[],,,,,,[],case_common_parts_m2_search,,[''],,1074335618,
,Дата поступления,2018-01-26T04:00:00,,,,,,,,,case_common_doc_entry_date,,,,,Fri Jan 26 04:00:00 GST 2018
,Статья УК РФ,,,[],,,,,,[],u_case_user_article,,,Статья 228 Часть 2; Статья 229.1 Часть 3,,Статья 228 Часть 2; Статья 229.1 Часть 3
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['26.01.2018', '14:44', '[У] Регистрация поступившего в суд дела', '', '', '', '']",26.01.2018.  ...  .14:44.  ...  .[У] Регистрация поступившего в суд дела.  ...  ..  ...  ..  ...  ..  ...  .,-1790887937,26.01.2018.  ...  .14:44.  ...  .[У] Регистрация поступившего в суд дела.  ...  ..  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['29.01.2018', '08:05', '[У] Передача материалов дела судье', '', '', '', '']",29.01.2018.  ...  .08:05.  ...  .[У] Передача материалов дела судье.  ...  ..  ...  ..  ...  ..  ...  .,-1726159783,29.01.2018.  ...  .08:05.  ...  .[У] Передача материалов дела судье.  ...  ..  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['30.01.2018', '13:01', '[У] Решение в отношении поступившего уголовного дела', '[У] Назначено судебное заседание', '', '', '']",30.01.2018.  ...  .13:01.  ...  .[У] Решение в отношении поступившего уголовного дела.  ...  .[У] Назначено судебное заседание.  ...  ..  ...  ..  ...  .,2135631684,30.01.2018.  ...  .13:01.  ...  .[У] Решение в отношении поступившего уголовного дела.  ...  .[У] Назначено судебное заседание.  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['09.02.2018', '14:00', '[У] Судебное заседание', '[У] Заседание отложено', '', 'ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА', '']",09.02.2018.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .,-514947394,09.02.2018.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['05.03.2018', '13:30', '[У] Судебное заседание', '[У] Заседание отложено', '', 'неявка в судебное заседание СВИДЕТЕЛЕЙ', '']",05.03.2018.  ...  .13:30.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .неявка в судебное заседание СВИДЕТЕЛЕЙ.  ...  .,-2135153278,05.03.2018.  ...  .13:30.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .неявка в судебное заседание СВИДЕТЕЛЕЙ.  ...  .
